time,open,high,low,close,tick_volume,bb_upper,bb_middle,bb_lower,bb_signal,macd_signal,rsi_overbought,adx,adx_strong,atr
2025-05-07 08:15:00,3386.675,3388.621,3384.987,3386.336,768,3395.432749597589,3389.09585,3382.7589504024113,0,-0.1399723803483516,0,12.66330543578774,0,3.816838743618159
2025-05-07 08:20:00,3386.326,3386.326,3383.982,3385.912,719,3395.4165609825327,3388.93035,3382.4441390174675,0,-0.27336909001296406,0,12.326710812846402,0,3.7123502619311344
2025-05-07 08:25:00,3385.915,3386.94,3384.175,3386.779,694,3395.2716445498677,3388.75345,3382.2352554501326,0,-0.372554579604583,0,11.759697230749122,0,3.6446823860789013
2025-05-07 08:30:00,3386.972,3387.389,3382.45,3382.476,683,3395.275771309352,3388.3175499999998,3381.3593286906475,0,-0.5129003965801993,0,11.853166664355673,0,3.7371336442161445
2025-05-07 08:35:00,3382.451,3384.986,3382.086,3383.972,961,3394.827590090742,3387.8940500000003,3380.9605099092587,0,-0.6466507396950698,0,12.065469077892605,0,3.677338383914998
2025-05-07 08:40:00,3384.065,3386.609,3383.11,3384.808,776,3394.6865640821825,3387.6642999999995,3380.6420359178164,0,-0.7544440139938565,0,11.536988543409779,0,3.664599927921055
2025-05-07 08:45:00,3384.808,3385.991,3383.286,3384.612,780,3393.7687168907414,3387.2092000000002,3380.649683109259,0,-0.841724733882798,0,11.046256618532867,0,3.5960570759266886
2025-05-07 08:50:00,3384.597,3385.983,3378.222,3382.079,1482,3392.106298002211,3386.5176,3380.928901997789,0,-0.9500672571813417,0,12.241925079440547,0,3.8935529990747795
2025-05-07 08:55:00,3382.119,3383.668,3381.262,3382.827,972,3390.811732384892,3385.9874000000004,3381.163067615109,0,-1.051832118131469,0,13.352188650283395,0,3.7872992134265773
2025-05-07 09:00:00,3382.827,3385.184,3381.133,3381.573,629,3390.3266367673596,3385.5535000000004,3380.7803632326413,0,-1.1617490450284527,0,13.67431652924675,0,3.8061349838961354
2025-05-07 09:05:00,3381.536,3383.292,3379.268,3379.891,1261,3389.6301328991185,3384.9882000000007,3380.346267100883,1,-1.29520096855609,0,14.520752410966141,0,3.821696770760689
2025-05-07 09:10:00,3379.988,3383.964,3379.21,3383.455,743,3389.369541640024,3384.8,3380.230458359976,0,-1.3765948382119193,0,14.993504657426863,0,3.88828985856349
2025-05-07 09:15:00,3383.473,3383.71,3378.433,3378.433,966,3388.990318308217,3384.2307,3379.471081691783,1,-1.4980784659189719,0,15.667306854674418,0,3.9874834400946724
2025-05-07 09:20:00,3378.407,3378.538,3373.125,3373.212,1421,3390.197845295126,3383.5618999999997,3376.925954704873,1,-1.718204786642394,0,17.559938574415828,0,4.089306051516482
2025-05-07 09:25:00,3373.11,3375.447,3371.559,3374.22,1266,3390.809663227548,3383.0474500000005,3375.285236772453,1,-1.9686208633002522,0,19.604065225549302,0,4.074927047836728
2025-05-07 09:30:00,3374.17,3376.269,3374.076,3375.012,883,3390.953109813638,3382.5280999999995,3374.103090186361,0,-2.2077719650419056,0,21.108052638861214,0,3.9405036872769443
2025-05-07 09:35:00,3375.044,3376.388,3373.602,3375.993,712,3390.408198299554,3381.9250999999995,3373.442001700445,0,-2.406642461867209,0,22.601693607037564,0,3.858039138185738
2025-05-07 09:40:00,3376.026,3378.464,3374.925,3378.301,693,3390.0286731045235,3381.5675499999998,3373.106426895476,0,-2.5275327188272643,0,22.999602895021525,0,3.835250628315311
2025-05-07 09:45:00,3378.3,3378.701,3375.805,3377.638,647,3389.6938157115346,3381.2074500000003,3372.721084288466,0,-2.5980262245808188,0,23.26064894464262,0,3.7681612977213734
2025-05-07 09:50:00,3377.566,3377.566,3372.718,3373.539,815,3389.283185963006,3380.5534,3371.8236140369936,0,-2.692712360673589,0,24.249485573173477,0,3.8504354907412806
2025-05-07 09:55:00,3373.446,3374.22,3369.615,3370.0,952,3389.177345296845,3379.7366,3370.2958547031553,1,-2.847923806971375,0,25.768000340284857,1,3.904332955688333
2025-05-07 10:00:00,3369.943,3374.002,3369.185,3373.878,1046,3388.4578301166475,3379.1349,3369.8119698833525,0,-2.964572685142771,0,27.254148594858616,1,3.9695234588534527
2025-05-07 10:05:00,3373.902,3379.301,3373.625,3378.681,1004,3387.3680554524676,3378.7300000000005,3370.0919445475333,0,-2.9675504450968915,0,26.4772441587217,1,4.091414640363916
2025-05-07 10:10:00,3378.656,3387.4,3378.63,3383.924,1442,3387.587845860052,3378.8024000000005,3370.016954139949,1,-2.8087126006435947,0,25.521191772859616,1,4.42559930890935
2025-05-07 10:15:00,3383.95,3389.607,3383.945,3387.79,2007,3388.3660651010737,3378.9933000000005,3369.6205348989274,0,-2.488697016269435,0,25.06283171207964,1,4.5154136439872525
2025-05-07 10:20:00,3387.765,3391.02,3386.245,3390.183,1376,3389.54988501957,3379.26205,3368.9742149804297,-1,-2.0405829314875015,0,24.900253105071062,0,4.533955526559598
2025-05-07 10:25:00,3390.184,3390.939,3387.527,3390.443,1171,3390.7240019336773,3379.5536,3368.383198066323,0,-1.5268710197115032,0,24.74928725570595,0,4.453815846091041
2025-05-07 10:30:00,3390.471,3391.69,3388.525,3390.12,932,3392.004946050388,3379.95565,3367.906353949612,0,-1.0006465165458365,0,24.759640004969732,0,4.36175757137025
2025-05-07 10:35:00,3390.154,3392.966,3389.383,3392.256,819,3393.576520776593,3380.4271,3367.2776792234067,0,-0.4578056132072174,0,25.02443509242851,1,4.306132030558095
2025-05-07 10:40:00,3392.215,3392.215,3388.418,3390.148,1012,3394.6691958115657,3380.85585,3367.042504188434,0,0.03440503345676371,0,24.928083587394042,0,4.272694028375355
2025-05-07 10:45:00,3390.137,3392.596,3389.04,3389.04,892,3395.5674697632626,3381.3133000000003,3367.059130236738,0,0.45132321176232587,0,24.923717159320926,0,4.221501597777118
2025-05-07 10:50:00,3389.011,3392.982,3388.521,3389.346,1066,3396.264650295764,3381.6078500000003,3366.9510497042365,0,0.8030473841161527,0,24.719988624345607,0,4.238608626507309
2025-05-07 10:55:00,3389.386,3393.411,3388.838,3391.413,930,3397.4341109422753,3382.25685,3367.079589057725,0,1.1266187245952533,0,24.639573595123817,0,4.26249372461392
2025-05-07 11:00:00,3391.461,3391.584,3388.212,3389.789,872,3398.0050188463792,3383.0857000000005,3368.166381153622,0,1.3871045076473079,0,24.301909483150155,0,4.1988870299986285
2025-05-07 11:05:00,3389.747,3391.533,3387.027,3387.613,745,3398.2181129486876,3383.7553500000004,3369.292587051313,0,1.5565160894223253,0,23.497983149400707,0,4.220823670713002
2025-05-07 11:10:00,3387.573,3388.131,3385.72,3387.484,877,3398.347032781467,3384.37895,3370.4108672185325,0,1.6543575565047104,0,22.237320977478635,0,4.091550551376363
2025-05-07 11:15:00,3387.463,3389.813,3386.501,3386.501,863,3398.35198710508,3384.90435,3371.4567128949197,0,1.6827574444647473,0,21.6120525246881,0,4.035868369135187
2025-05-07 11:20:00,3386.547,3387.147,3384.423,3386.847,854,3398.451959985284,3385.33165,3372.2113400147164,0,1.6678288101998016,0,20.242064459016742,0,3.9421634856255423
2025-05-07 11:25:00,3386.864,3388.28,3385.853,3386.875,878,3398.439734546296,3385.7934999999998,3373.1472654537033,0,1.623170685715008,0,19.34687962266259,0,3.833937522366585
2025-05-07 11:30:00,3386.836,3387.346,3383.719,3384.119,764,3397.695016001305,3386.3224999999998,3374.9499839986947,-1,1.514549840699179,0,18.174901311530075,0,3.819156270768968
2025-05-07 11:35:00,3384.077,3388.079,3384.036,3385.955,749,3395.6952549533485,3387.12025,3378.5452450466514,0,1.3973728280449258,0,16.926163761306245,0,3.835145108571193
2025-05-07 11:40:00,3385.979,3390.003,3385.979,3388.293,909,3393.8954544923513,3387.8409999999994,3381.7865455076476,1,1.3150921170713474,0,16.4098868884666,0,3.850349029387553
2025-05-07 11:45:00,3388.265,3389.528,3384.358,3385.4,890,3392.7173845375705,3388.17695,3383.6365154624295,-1,1.2098435364625426,0,15.334782564076374,0,3.9446098130027
2025-05-07 11:50:00,3385.415,3387.179,3385.104,3386.41,754,3392.491792870555,3388.3012499999995,3384.110707129444,0,1.109072926606552,0,14.336471405714022,0,3.8110662549310983
